full_name,age
"Armando Federici",10
"Giulio Beccaria",8
"Nicoletta Panatta",0
"Jason Clark",8
"Amalia Garozzo",4
"Dolores Zito",3
"Gabriele Antonucci-Marino",3
"Juan Garcia",7
"Dionigi Boldù",6
"Nancy Moreno",0
"Michelotto Germano",0
"Daniel Campos",5
"Alfredo Sordi",5
"Sante Condoleo",6
"Giampiero Polesel",2
"Zaira Turati",2
"Brenda Owen",10
"Robert Smith",0
"Piersanti Vespa-Iacobucci",3
"Clelia Dibiasi-Foa",7
"Stephanie Morales",9
"Veronica Muratori",6
"Sig.ra Milena Tomasini",1
"Heather Noble",6
"Fiorino Salata",8
"Livia Mannoia",3
"Mark Alvarez",8
"Dott. Eugenia Combi",0
"Michael Terry",1
"Barbara Vasari",9
"Dana Sherman",9
"James Carter",10
"Erika Broggini",2
"Dott. Loretta Peranda",4
"Justin Miranda",3
"Tamara Bowers",7
"Gastone Vecellio",8
"Beppe Tomasetti",9
"Dott. Costantino Nordio",6
"Angela Owens",0
"Flavio Avogadro",1
"Natalie Johnson",1
"Donald Williams",3
"Sig.ra Virginia Zeffirelli",1
"Johnathan Atkinson",5
"Rosario Filippini",6
"Dott. Erika Gori",2
"Noah Reyes",0
"Ivo Tosi",1
"William Walker",3
"Dr. Kathleen Barber",4
"Gregory Bennett",8
"Jerry Velazquez Jr.",4
"Jerry Watts",2
"Sig. Arnaldo Juvara",10
"Wendy Adams",7
"Courtney Scott",6
"Darrell Lopez",6
"Melanie Lynch",7
"Sig.ra Adriana Antonello",4
"Cheryl Casey",6
"Shane Parks",4
"Shelby Kaiser",2
"Giulietta Marrone",2
"Griselda Corbo",4
"Puccio Moresi",4
"Eric Huff",1
"Patrick Morrow",9
"William Palmer",8
"Sophia Torricelli",2
"Santino Cesarotti",6
"Giuliana Cagnin-Marsili",5
"Adriana Dossi-Dossetti",10
"Lisa Rosmini",3
"Christine Long",3
"Brandi Evans",4
"Sig. Dionigi Fantozzi",4
"April Lloyd",6
"Leonardo Borghese-Marrone",0
"Kevin Boyd",10
"Susanna Omma",2
"Natalia Zacchia-Bettoni",4
"Angie Ward",3
"Susan Lang",0
"Maria Petrucelli-Ostinelli",0
"Steve Brown",7
"David Miller",7
"Maria Jones",10
"Katherine Hooper",9
"Samantha Johnson",8
"Rembrandt Polani",1
"Giuliana Golino",5
"Daria Contarini",1
"Giada Cesaroni",8
"James Brown",9
"Amy Baldwin",5
"Sig.ra Filippa Alonzi",6
"Giuseppina Majorana",10
"Marissa Galiazzo",4
"Dott. Amanda Mortati",9
"Scott Roberson",9
"Greca Anastasi",10
"Laura Downs",8
"Alexander Rodriguez",10
"Shawn Schmidt",1
"Sean White",2
"Mark Robinson",6
"Ornella Gonzaga",6
"Elvira Moresi",6
"Jesus Scott",2
"Mr. Hayden Martin",1
"Victoria Cunningham",7
"Ruggero Marini",7
"Jennifer Moore",5
"Clelia Gilardoni",9
"Nicole Sloan",3
"Veronica Smith",10
"Zachary Brown",2
"Jodi Ward",7
"Alexandra Levy",0
"Sig.ra Eleanora Mancini",5
"Mark Peterson",9
"Iolanda Maspero",0
"Vittorio Bertolucci",6
"Lolita Ziani",4
"Geronimo Paolucci-Mozart",10
"Robert Hobbs",6
"Alyssa Owens",3
"Loredana Leonetti",1
"Travis Taylor",5
"Piergiuseppe Chiesa-Piovani",0
"Amy Watson",0
"Dr. Kelsey Butler DVM",9
"Lucrezia Manunta",9
"Gianpaolo Chiesa",6
"Dott. Ivan Ginese",8
"Nicholas Knight",9
"Amanda Watson",6
"Dott. Bianca Tamborini",7
"Delfino Cicala-Cesaroni",5
"Vincentio Pacillo",5
"Dominique Perry",0
"Alessia Ramazzotti",3
"Desiree Monroe",1
"Leslie Gibson",1
"Alessio Gori",8
"John Roberts DDS",8
"Phyllis Cole",6
"Chelsea Hernandez",9
"Dott. Lina Galvani",6
"Diana Davis",5
"Cody Nichols",8
"Beatrice Micca",4
"Piergiorgio Salgari",1
"Elena Baggio",10
"Thomas Lee",5
"Gioele Cugia",2
"Romina Lamborghini",10
"Gloria Haynes",4
"William Campbell",3
"Clelia Impastato",1
"Darrell Perry",1
"Evangelista Bellocchio",3
"Jeffrey Shaffer",2
"Lee Martinez",5
"Katie Barr",4
"Kimberly Green",9
"Bethany Carter",7
"Wendy Simmons",5
"Tyler Nguyen",0
"Maria Jones",2
"Daryl Barnes",7
"Thomas Davis",10
"Elisa Sgalambro",2
"Sharon Barajas",2
"Carla Boccioni",6
"Michael Hernandez",6
"Francesca Savorgnan",7
"Carmelo Condoleo-Natta",1
"Fiamma Mezzetta-Casale",9
"Antonietta Scarpetta-Errani",4
"Fabia Tafuri-Parri",0
"Benjamin Walker",3
"Leah Ferrell",7
"Manuel Walsh",9
"Melissa Angiolello",7
"Andrea Mckee",7
"Matthew Stephens",2
"Sig. Graziano Baresi",0
"Vernon Russell",6
"Darren Lewis",1
"Chiara Vendetti",2
"Amber Rodriguez",0
"Katie Marshall",8
"Nicola Jilani",5
"Peter Davis",8
"Dott. Serena Marconi",8
"Maurizio Giunti",2
"Vanessa Stucchi",2
"Christina Jackson",1
"Giacomo Curiel",7
"Annetta Sanudo",1
"Elizabeth Olson",1
"Abigail Alexander",2
"Virgilio Marino",1
"Giuliana Tacchini",4
"Craig Patton",6
"Anthony Glass",6
"Courtney Lam",0
"Valerie Miller",8
"Dott. Angelina Michelangeli",0
"Sig. Nicola Franceschi",6
"Andrew Padilla",7
"Gianfranco Brunello",4
"Stephen Brown",3
"Girolamo Toninelli",4
"Linda Levine",8
"Melissa Sanchez",0
"Crystal Potter",0
"Cynthia Rasmussen",8
"Thomas Ryan",8
"Vito Giannuzzi",8
"Benjamin Bishop",4
"Deborah Skinner",9
"Richard Foster",8
"Laura Serlupi",5
"Kimberly Walter",9
"Jacqueline Ware",2
"Jasmine Griffin",5
"Darryl Davis",3
"Gabriella Crosby",0
"Donald Howard",1
"Sarah Gilbert",5
"Charles Nicholson",7
"Dott. Rodolfo Veltroni",10
"Elvira Trobbiani",3
"Gioele Munari",6
"Roberta Schicchi-Mantegazza",8
"Eric Cooper",5
"Mitchell Ward",3
"Marc Castro",8
"Charles Martinez",1
"Daniel Robinson",0
"Jesus Garcia",6
"Jason Cook",1
"Jose Phillips",7
"Kristopher Roberts",8
"Giuliana Luciani",9
"Taylor Gardner",0
"Susan Thompson",2
"Sante Cappelli",9
"Dott. Bettina Rossetti",1
"Natalie Lester",3
"Olga Pepe",3
"Megan Nguyen",4
"Christina Pratt",4
"Tina Thomas",4
"Melinda Smith",2
"Phillip Jimenez",10
"Mark Clark",4
"Sig.ra Letizia Staglieno",8
"Lara Bonino-Balbi",7
"Cirillo Montessori",8
"Kenneth Anderson",6
"Meghan Anderson",7
"Giulia Togliatti",3
"Billy Webb",9
"Matilda Soderini-Bulzoni",0
"Mariana Ioppi",8
"Susan Butler",9
"Amy Gordon",0
"Jennifer Rios",7
"Allegra Trincavelli-Valentino",10
"Dott. Vanessa Mazzeo",5
"Dina Tommaseo-Casalodi",6
"Eva Tagliafierro",9
"Sig. Giacobbe Onio",3
"Enzo Mercati",8
"Brenda Tate",2
"Russell Lloyd",9
"Christopher Morrison",4
"Arnulfo Ciani",9
"Dott. Gastone Oscuro",10
"Blake Allen",6
"Dott. Paoletta Turci",6
"Elladio Corcos",3
"Philip Obrien",3
"Patricia Perez",6
"Jamie Barker",9
"Paulina Busoni",2
"Jeffrey Martin",2
"Fortunata Turchi-Alboni",0
"Lisa Lang",0
"Kristina Barker",9
"Jacob Franklin",2
"Sig.ra Matilda Passalacqua",3
"Donald Brown",6
"Kimberly Campbell",1
"Jeremy Castro",2
"Marisa Biagi",6
"Giuseppe Guarneri",8
"Augusto Persico",1
"Ubaldo Gelli",5
"Melissa Thomas",10
"Milena Rienzo",9
"Anna Hoffman",7
"Dott. Aldo Gradenigo",8
"Jorge George",9
"Fabio Boccioni",1
"Angela Nichols",3
"Lidia Folliero-Interiano",0
"Simonetta Avogadro",1
"Mathew Martin",3
"Nathan Moody",1
"Francesco Regge",3
"Linda Wilson",3
"Sig. Daniele Caffarelli",1
"Larry Tucker",5
"Johnathan Kim",9
"Patrick Oliver",10
"Daniel Smith",4
"Dott. Giulio Martucci",10
"Tonya Hoffman",2
"Charles Fernandez",0
"Elizabeth Walker",7
"Fiamma Onisto",4
"Melinda Ramirez",6
"Gianmarco Toldo",4
"Patrick Jones",5
"Dott. Annetta Cafarchia",8
"Shelby Harris",3
"Samuel Smith",1
"Pierluigi Pizziol-Tafuri",8
"Suzanne Wilson",3
"Anita Lopez",3
"Diane Flores",3
"Sig.ra Maria Lollobrigida",7
"Scott Cantu",4
"Neil Hood",10
"Dott. Teresa Bulzoni",2
"Kristina Foley",6
"Gianpietro Malatesta",10
"Kevin Mcguire",7
"Giulia Finzi",5
"Arsenio Caffarelli",5
"Jeanette Maldonado",3
"Mariano Cabibbo",5
"Guido Paoletti",2
"Edward Walters",6
"Priscilla Bompiani",9
"Fabrizia Goldstein",0
"Jeffrey Rosales",7
"Michael Newman",3
"Elena Collina",10
"Sean Tucker",6
"Vincenza Lovato",8
"Bruno Doglioni",0
"Donald Floyd",8
"Jeff Hanna",0
"Nicole Ware",5
"Clelia Malpighi",6
"Thomas Mcclure",1
"Jason Torres",4
"Alyssa Gray",3
"Sig.ra Irma Balbi",9
"Dott. Leonardo Bellocchio",3
"Thomas Logan",8
"James Brown",9
"Gustavo Comencini",6
"Amico Tornatore",9
"Dawn Bates",4
"James Hansen",5
"Marissa Errani",10
"Joshua Olson",2
"Erica Cole",10
"Kelly Wilson",9
"Alessandro Udinesi",10
"Viridiana Ortolani",9
"Sig.ra Antonella Gabba",3
"Sig.ra Gloria Vismara",3
"Paulina Paganini",2
"Terry Warren",8
"Lisa Campbell",4
"Matthew Camacho",9
"Jamie Duffy",0
"Massimo Andreozzi-Taliercio",0
"Danilo Falcone",2
"Fortunata Tolentino",3
"Dott. Gioffre Ortolani",6
"Milo Forza",9
"Chad Koch",9
"Ronaldo Torlonia",8
"Jennifer Hale",10
"Tina Lopez",10
"Amanda Clark",9
"Jason Murphy",9
"Bartolomeo Lippomano",0
"Sig. Gianpietro Gualtieri",0
"Giulietta Oscuro-Vigorelli",4
"Brian Willis",6
"Zachary Murphy",0
"Isa Pizzamano",2
"Maurilio Bongiorno",3
"Lauren Walker",4
"Erica Carr",9
"Beth Phillips",2
"James Smith",2
"Licia Petrassi",2
"Kevin Johnson",2
"Arsenio Tutino",7
"Adele Taliani",0
"Mrs. Linda Moore",7
"Romana Iannelli-Carocci",7
"Douglas Myers",3
"Debbie Lopez",2
"Teresa Schultz",3
"Dott. Torquato Corbo",10
"Bailey Thomas",6
"Katie Perez",4
"Tina Roccabonella",5
"Paloma Aloisio",0
"Bettina Trombetta",9
"Simonetta Broggini-Garobbio",10
"Nicolas Rogers",0
"Justin Ryan",8
"Sig. Ubaldo Ravaglioli",1
"Patrizio Venturi-Castellitto",9
"Pasqual Leone-Morlacchi",8
"Kelly Hernandez",6
"Sig. Atenulf Cicilia",5
"Darin Murray",1
"Derrick Cunningham",3
"Fortunata Mastandrea-Modigliani",3
"Helen Foster",5
"Madison Mcdonald",6
"Severino Gozzano",5
"Sonia Gabba-Guglielmi",7
"Hugo Ferrabosco",2
"Vanessa Mason",0
"Gioffre Celentano-Vezzali",8
"Pam Stewart",0
"Thomas Crawford",1
"Lara Viola-Tartini",0
"Nino Baroffio",4
"Elizabeth Moran",2
"Sig. Beppe Ceschi",4
"Orazio Franscini-Miniati",8
"Nancy Hurst",4
"Alessia Chindamo-Viola",10
"Dott. Viridiana Boccherini",3
"Michael Graham",5
"Craig Madden",7
"Samantha Delgado",6
"Cynthia Caldwell",10
"Giorgio Palumbo",9
"Christopher Young",6
"Roberto Fornaciari",8
"Luciana Cossiga",2
"Uberto Balla",4
"Cody Farmer",0
"Stella Interminei-Pulci",3
"Renata Blasi",10
"Kyle Peterson",6
"Joseph Munoz",9
"Lauren Chang",9
"Jody White",8
"David Williams",4
"Daria Zabarella",5
"Sig.ra Letizia Fioravanti",1
"Margaret Thomas",5
"Benjamin Kennedy",2
"Tracy Ware",1
"Catherine David",6
"Courtney Summers",5
"Elmo Folliero",1
"Pompeo Pedersoli-Ottino",2
"Alina Cammarata",0
"Jamie Thomas",8
"Luca Satriani",0
"Lucia Boiardo",0
"Max Valdez",2
"Michael Watson",7
"Arturo Ligorio",1
"Julie Rowe",8
"Lisa Brennan",6
"Susanna Anichini",6
"David Little",2
"Michael Paul",9
"Jerry Finley",2
"Joshua Cooper",0
"Amleto Abba-Canevascini",1
"David Gilbert",10
"Giulio Montesano",9
"Agostino Olivetti",7
"Bryan Snow",3
"Mark Lang",6
"Marta Franscini-Pastine",0
"Paul Armstrong",5
"Virginia Mezzetta-Gentilini",7
"Joseph Thomas",0
"Salvatore Lancisi",5
"Sig. Edoardo Grimani",8
"Douglas Wiley",5
"Angelina Norbiato",2
"Biagio Bonatti",8
"Piergiuseppe Tartini",0
"Domenico Modigliani",10
"Patrizio Infantino",6
"Joseph Romero",5
"Dean Hernandez",3
"Donato Gianetti",8
"William Thomas",8
"Sabatino Tremonti",5
"Brian Wiggins",8
"Maurice Dalton",4
"Victoria Ingram",9
"Bettina Venturi",2
"Maura Onisto",0
"Romolo Panatta",0
"Alexander Howard",7
"Martino Nitti",8
"Michael Collins",1
"Lori Ellis",8
"Galasso Mantegna-Cherubini",6
"Marisa Sabbatini-Versace",7
"Sig. Mirko Chinnici",1
"Rick Lindsey",3
"Riccardo Vasari-Morricone",1
"Cody Pope",10
"Courtney Lee",5
"Sig. Mirco Bruscantini",4
"Mirko Gioberti",4
"Arnaldo Cignaroli",1
"Amy Cruz",2
"Dolores Fracci",7
"Ennio Burcardo",4
"Donatello Ziani-Gadda",9
"Chris Collins",8
"Lorenzo Ferrari",3
"Raimondo Iannelli",4
"Dott. Gilberto Terragni",10
"Viridiana Samele",5
"Vittoria Trapanese-Cremonesi",5
"Ruth Cantu",8
"Sig.ra Anita Mercadante",4
"Collin Baker",3
"Aaron Ellis",5
"Olga Abbagnale-Scotto",2
"Luciano Pagliaro",1
"Bartolomeo Nordio",2
"Alessia Montalcini",9
"Jesus Wells",1
"Dott. Erika Scotto",7
"David Knight",10
"Giuseppe Marinetti",2
"Sara Stevens",6
"Tullio Giacometti",7
"Benjamin Caldwell",2
"Ida Gadda",4
"Jason Gordon",0
"Sig.ra Carla Boiardo",2
"Tammy Johnson",8
"Antonina Persico",6
"Sig. Giovanni Tartaglia",1
"Kathy Dyer",2
"Rebecca Kelly",4
"Catherine Romero",7
"Terri Rowe",1
"Tonya Berry",1
"Ms. Jennifer Richards",3
"Dott. Fernanda Franceschi",5
"Charles Stewart",6
"Sophia Curatoli",9
"Amalia Folliero-Carducci",3
"Karla Jones",9
"Calcedonio Oscuro",5
"Norman Weaver",10
"Dolores Gibilisco",4
"Tina Ferrata",4
"Patrizio Pareto-Pirandello",0
"Rossana Gualandi",9
"Mr. Ryan Gibson",2
"Justin Stephens",2
"Connie Mclean",8
"Sylvia Callegaro",7
"Rosa Montecchi",0
"Angelina Broschi",0
"Chris Patel",6
"William Bender",0
"Benjamin Gallagher",9
"James Walker",0
"Alderano Tomaselli",2
"Ida Palombi",6
"Rossana Tornatore",10
"Dylan Harrison",9
"Veronica Gagliardi",8
"Gwendolyn Bailey",4
"Dott. Veronica Iacovelli",4
"Annunziata Bonolis",4
"Kevin Mcbride",2
"Ernesto Tozzi",2
"Donatella Turchi",6
"Benjamin Edwards",4
"Gianluca Petrucci",5
"Gianmarco Curci",8
"Dr. Taylor Gardner",8
"Gioffre Cafarchia",2
"Mike Schneider",5
"Jonathan Gray",2
"Robert Sullivan",3
"David Griffin",10
"Danilo Cignaroli",1
"David Jones",8
"Giorgio Coardi-Mazzi",10
"Sean Lewis",10
"Sig. Tonino Oliboni",7
"Erika Thompson",4
"Sig. Sebastiano Pignatti",6
"Jessica Marshall",6
"Frank Stone",6
"Ermenegildo Napolitano",9
"Azeglio Romiti",1
"Karen Morales",8
"Tracy Baker",6
"Sig.ra Michela Fracci",8
"Eva Maspero-Trillini",0
"Eric Vincent",9
"Dott. Leonardo Donarelli",6
"Rebecca Cortez",5
"Jonathan Conrad",10
"Rebecca Gamble",7
"Corey Ward",6
"Calogero Tornatore-Smirnoff",5
"Mark Johnson",9
"Lisa White",1
"Napoleone Napolitano",1
"Deborah Marshall",1
"Carla Trombetta-Anastasi",5
"Gemma Piovani",5
"Brian Caldwell",9
"Nicole Chavez",1
"Gian Trotta",3
"Jeremiah Pace",3
"Mr. Michael Moreno",8
"Rodolfo Zito",1
"Alessandro Rossellini",1
"Christina Miller",9
"Laura Carter",6
"Dott. Alina Mennea",7
"Brandon Lucas",4
"Tammy Lopez",5
"Angela Williams",6
"Yolanda Nguyen",2
"Sig.ra Greca Guidone",10
"Mason Mcdaniel",9
"Donatello Raimondi",7
"Brittany Hernandez",3
"Michelotto Contrafatto",3
"Sergius Querini",8
"Casey Jones",0
"William Moss",5
"Giuliana Marini",5
"Angela Chase",4
"Gemma Sabbatini",8
"Tiziano Marconi",2
"Natalia Turchi-Agostini",7
"Rachel Bowers",8
"Liliana Malaparte-Conte",9
"David Grant",7
"Geronimo Rosmini-Sgarbi",6
"Sig. Lamberto Giannini",0
"Ashley Gonzalez",10
"Clelia Sollima",5
"Dana Ramos",4
"Piergiuseppe Carpaccio-Villarosa",3
"Patricia Zuniga",5
"Deanna Elliott",0
"Donatella Forza",10
"Marcello Beccheria",8
"Carlos Sanchez",4
"Dylan Cline",10
"Pierpaolo Giolitti",10
"Lidia Tron",8
"Lori Cruz",7
"Dott. Rembrandt Mennea",3
"Rachel Green",1
"Shane Williams",10
"Elladio Prada",9
"Lisa Wolf",7
"Virginia Iannuzzi",7
"Flavia Zoppetto",9
"John Santana",2
"Jason Baker",1
"Marissa Scotto",4
"Melissa Fields",3
"Ashley Johnson",3
"Sierra Greer",7
"Sig.ra Elena Moschino",6
"Tyler Williams",5
"Gregory Williams",5
"Drew Williams",8
"Pasquale Trobbiani",6
"Victoria Grasso-Toso",6
"Maura Modiano",6
"Heidi Hernandez",6
"Arturo Mascagni",0
"Sig. Ettore Agostinelli",0
"Dott. Gioachino Franscini",6
"Christopher Martinez",9
"Robert Jones",10
"Matthew Solomon",8
"Jeffrey Smith",6
"Jenny Shaw",2
"Alderano Vendetti",0
"Sig. Amico Babbo",5
"Simonetta Cafarchia",7
"Christopher Davis",3
"Giorgia Prodi",2
"Stephen Mccarthy",9
"John Kramer",8
"Jennifer Gomez",6
"Nadia Quasimodo",9
"Rita Lin",8
"Roger Smith",8
"Andrea Martinez",1
"Michelangelo Sordi",5
"Michael Rice",8
"Laura Cook DDS",9
"Leslie Gibson",5
"Dean Bailey",10
"Alina Toninelli-Micca",7
"Angela Winters",0
"Chad Bass",5
"Angelica Avogadro",6
"Durante Cardano",0
"Piero Tresoldi",10
"Christopher Jones",10
"Danielle Bush",3
"Vincentio Fieramosca",5
"Ettore Armani",8
"Mrs. Kathleen Owens MD",7
"Sig. Ernesto Cherubini",3
"Piergiuseppe Luna",4
"Valerie Alvarez",3
"Jason Smith",3
"Michael Webb",6
"Vanessa Campano",9
"Ivo Scarlatti",9
"Dott. Virginia Borroni",8
"Tracy Johnson",0
"Piergiorgio Iacobucci-Cundari",9
"Sig.ra Vanessa Leonetti",1
"Angelica Pontecorvo",9
"Dylan Leon",1
"Ugolino Soffici-Corcos",6
"Annalisa Gibilisco",9
"Samuel Beltran",10
"Ramona Buscetta",0
"Nanni Montanelli",2
"Shannon Webb",7
"Pompeo Fo",5
"Marcantonio Marangoni",7
"Elizabeth Mendez",7
"Antonello Depero",6
"Atenulf Tedesco",4
"Rembrandt Verdone",2
"Emily Williams",9
"Sig. Tonino Renault",1
"Melissa Weaver",7
"Silvio Vendetti-Greco",0
"Vicki Pace",6
"Annamaria Casalodi",7
"Justin Dennis",5
"Justin Garcia",4
"Dott. Greca Durante",1
"Sig. Coriolano Mennea",3
"Amber Jordan",1
"Dott. Ida Puccini",1
"Monica Mays",10
"Lorenzo Mercantini",8
"Beppe Giacconi",7
"Victoria Ramos",5
"Virgilio Guinizzelli",0
"Danny Coffey",8
"Sig. Napoleone Platini",1
"Samantha Price",1
"Ann Dunlap",8
"Peter Terry",5
"Patrick Sanchez",8
"Derrick Gutierrez",4
"Melina Gullotta",8
"Sandra Werner",3
"Leone Andreotti",9
"Edward Mccarthy",3
"Tony Scott",8
"Ugolino Guidotti-Correr",7
"Dott. Viridiana Mazzeo",2
"Dana Little",6
"Pompeo Chiesa",3
"Corey Jones",7
"Nicole Johnson",0
"Brent Baker",10
"Patrizia Inzaghi",10
"Yolanda Bell",2
"Aaron Wade",3
"Fabrizia Monteverdi",10
"Graziano Perozzo",10
"Mr. Robert Cherry",7
"Mariana Pascarella",8
"Paul Smith",10
"Sean Thompson",3
"Luis Byrd",10
"Piero Rossi-Trentini",5
"James Wheeler",2
"Robert Rodriguez",3
"Virgilio Toso",2
"Enrico Pirelli-Foa",10
"Orlando Vergassola",1
"Donald Hunt",8
"John Simmons",0
"Karen Rhodes",10
"Isabella Proietti-Fuseli",1
"Robert Flores",4
"Eugenia Cattaneo",5
"Sig.ra Fernanda Cabrini",10
"Mario Luxardo",3
"Donna Treccani",3
"Jessica Johnson",4
"Laureano Babati-Filippelli",9
"Matthew Dorsey",10
"Alessia Ritacca",4
"Robert Williams",10
"Aldo Marsili",2
"Ashley Lopez",2
"Elena Zito",8
"Cory Rosario",10
"Allison Smith",7
"Valeria Priuli",8
"Rosario Troisi-Casadei",1
"Dott. Annunziata Zoppetto",0
"Marcia Ellis",4
"Erin Armstrong",5
"Federigo Alboni",0
"Pierluigi Pincherle",2
"Debra Richardson",9
"Dott. Martina Bonolis",3
"Kimberly Anderson",9
"Giuliano Faggiani",10
"Ashlee Noble",10
"Peter Garza",3
"Brandon Adkins",6
"Summer Zimmerman",8
"Ciro Spallanzani",1
"Serafina Albertini-Priuli",10
"Jason Martinez",10
"Bernardo Sabbatini-Abatantuono",7
"Eric Harmon Jr.",7
"Robert Bailey",1
"Flavia Tozzi",0
"Agostino Valier",4
"Melania Traversa",3
"Geronimo Semitecolo-Calbo",0
"Jennifer Barton",5
"Antonietta Spadafora",2
"Sig.ra Berenice Valmarana",10
"Dott. Piermaria Brambilla",1
"Erin Haynes",9
"Megan Whitaker",10
"Sandra Liguori-Fornaciari",6
"Rita Visconti-Pigafetta",10
"Dott. Lazzaro Martucci",10
"Susanna Serlupi",8
"Liana Spanevello",10
"Kelly Payne",3
"William Cooper",2
"Filippa Benedetti-Piccio",6
"Elmo Murri",3
"Gianfrancesco Sgalambro-Bellocchio",0
"David Moore",7
"Allegra Chiaramonte-Dovara",4
"Lando Micheletti-Branciforte",9
"Whitney Lewis",6
"Giancarlo Asprucci-Tartaglia",7
"Adele Baracca",7
"Calvin Williams",1
"Sig.ra Antonina Rinaldi",0
"Wanda Marshall",7
"Fabrizio Bertolucci",1
"Parker Edwards",1
"Dott. Bettina Fattori",5
"Paride Polizzi",9
"Sherry Taylor",7
"Torquato Cagnotto-Mannoia",6
"Sig.ra Donatella Maffei",9
"Robert Murphy",3
"Rita Giacconi",1
"Sandra Lopez",7
"Sophia Depero",9
"Piergiorgio Monaco",4
"Aaron Russell",6
"Bruno Andreotti",2
"Elmo Anastasi-Perini",4
"Amleto Bonaventura-Lombardi",5
"David Marshall",0
"Sig.ra Luciana Tomasini",6
"Nathan Moran",4
"Diana Larsen",3
"Aldo Vismara",9
"Tammy Mcneil",3
"Edoardo Scalera",8
"Juan Duncan",10
"Dott. Alberto Sgalambro",3
